,layers,percentage3x3,percentage_increase
73,34,72,63.17786613231347
74,34,73,60.52612191282483
75,34,74,58.63648369295351
76,34,75,56.165048463910615
77,34,76,54.2754102440393
78,34,77,51.551542428372365
79,34,78,49.66190420850105
80,34,79,47.19046897945815
81,34,80,44.868089182517075
82,34,81,42.21634496302844
83,34,82,40.32670674315712
84,34,83,37.85527151411422
85,34,84,35.96563329424291
86,34,85,33.24176547857598
87,34,86,31.352127258704666
88,34,87,28.88069202966177
89,34,88,26.99105380979045
90,34,89,24.33930959030182
91,34,90,22.238108821640836
92,34,91,19.766673592597943
93,34,92,17.87703537272662
94,34,93,15.153167557059696
95,34,94,13.263529337188377
96,34,95,10.792094108145482
97,34,96,8.902455888274163
98,34,97,6.250711668785532
99,34,98,4.361073448914214
100,34,99,1.8896382198713184
101,34,100,0.0
102,50,50,55.10282312130039
103,50,51,54.1809640223645
104,50,52,52.98515622893349
105,50,53,52.0632971299976
106,50,54,50.7479085572235
107,50,55,49.8260494582876
108,50,56,48.630241664856605
109,50,57,47.70838256592071
110,50,58,46.425606932967455
111,50,59,44.72538567030738
112,50,60,43.803526571371485
113,50,61,42.48813799859739
114,50,62,41.56627889966149
115,50,63,40.3704711062305
116,50,64,39.4486120072946
117,50,65,38.165836374341346
118,50,66,37.24397727540545
119,50,67,36.048169481974455
120,50,68,35.12631038303856
121,50,69,33.70656040283775
122,50,70,32.784701303901855
123,50,71,31.588893510470857
124,50,72,30.66703441153496
125,50,73,29.384258778581707
126,50,74,28.462399679645813
127,50,75,27.266591886214815
128,50,76,26.344732787278915
129,50,77,25.029344214504818
130,50,78,24.10748511556892
131,50,79,22.911677322137923
132,50,80,21.781095408348616
133,50,81,20.498319775395363
134,50,82,19.57646067645947
135,50,83,18.380652883028468
136,50,84,17.45879378409257
137,50,85,16.143405211318473
138,50,86,15.221546112382578
139,50,87,14.025738318951579
140,50,88,13.103879220015683
141,50,89,11.82110358706243
142,50,90,10.794883080699828
143,50,91,9.59907528726883
144,50,92,8.677216188332933
145,50,93,7.361827615558836
146,50,94,6.439968516622939
147,50,95,5.244160723191941
148,50,96,4.322301624256044
149,50,97,3.0395259913027917
150,50,98,2.1176668923668944
151,50,99,0.9218590989358967
152,50,100,0.0
